LotArea,OverallQual,YearBuilt,GrLivArea,TotBath,BedroomAbvGr,Fireplace,SalePrice
31770,6,1960,1656,2,3,Yes,215000
11622,5,1961,896,1,2,No,105000
14267,6,1958,1329,1.5,3,No,172000
11160,7,1968,2110,3.5,3,Yes,244000
13830,5,1997,1629,2.5,3,Yes,189900
9978,6,1998,1604,2.5,3,Yes,195500
4920,8,2001,1338,3,2,No,213500
5005,8,1992,1280,2,2,No,191500
5389,8,1995,1616,3,2,Yes,236500
7500,7,1999,1804,2.5,3,Yes,189000
10000,6,1993,1655,2.5,3,Yes,175900
7980,6,1992,1187,3,3,No,185000
8402,6,1998,1465,2.5,3,Yes,180400
10176,7,1990,1341,2.5,2,Yes,171500
6820,8,1985,1502,2.5,1,No,212000
53504,8,2003,3279,4.5,4,Yes,538000
12134,8,1988,1752,2,4,No,164000
11394,9,2010,1856,2.5,1,Yes,394432
19138,4,1951,864,1,2,No,141000
13175,6,1978,2073,3,3,Yes,210000
11751,6,1977,1844,2,3,Yes,190000
10625,7,1974,1173,3,3,Yes,170000
7500,7,2000,1674,3.5,3,No,216000
11241,6,1970,1004,2,2,Yes,149000
12537,5,1971,1078,2.5,3,Yes,149900
8450,5,1968,1056,2,3,Yes,142000
8400,4,1970,882,2,2,No,126000
10500,4,1971,864,1,3,Yes,115000
5858,7,1999,1337,3,2,Yes,184000
1680,6,1971,987,1.5,2,No,96000
1680,5,1971,1092,1.5,3,No,105500
1680,6,1971,1092,1.5,3,No,88000
4043,6,1977,1069,2,2,Yes,127500
2280,6,1975,1456,2.5,3,Yes,149900
2280,7,1975,836,1,2,No,120000
2280,6,1978,1456,2.5,3,Yes,146000
12858,9,2009,2334,2.5,3,Yes,376162
11478,8,2007,1704,3,3,Yes,306000
10159,9,2009,1940,3.5,3,Yes,395192
12883,8,2009,1544,2,3,No,290941
12182,7,2005,1541,2,3,Yes,220000
11520,9,2005,1698,2,3,Yes,275000
14122,8,2005,1822,2,3,Yes,259000
10171,7,2004,1535,2,3,No,214000
12919,9,2009,2364,3.5,2,Yes,611657
6371,7,2009,1358,3,2,Yes,224000
14300,9,2003,2696,3.5,3,Yes,500000
13650,8,2002,2250,3.5,3,Yes,320000
7658,9,2005,1752,3,2,Yes,319900
7132,8,2006,1370,2,2,Yes,205000
2628,7,2003,1626,2.5,2,No,175500
18494,6,2005,1324,2,3,No,199500
3203,7,2006,1145,2,2,No,160000
3182,8,2004,1269,2,2,Yes,192000
13300,7,2004,1374,3.5,3,Yes,184500
7851,6,2002,1960,3.5,4,Yes,216500
8577,7,2004,1733,2.5,3,Yes,185088
7750,7,2000,1430,2.5,3,Yes,180000
9505,7,2001,2035,2.5,3,Yes,222500
14774,9,1999,2599,2.5,4,Yes,333168
17433,8,1998,2475,2.5,4,Yes,355000
10593,7,1996,1720,3,3,Yes,260400
12256,8,1994,2622,3.5,3,Yes,325000
11764,8,1999,2270,2.5,4,Yes,290000
16770,7,1998,1839,2.5,4,No,221000
14720,8,1995,3238,3.5,4,Yes,410000
8987,8,2005,1595,2,2,Yes,221500
9215,7,2009,1218,2,2,No,204500
8640,7,2009,1547,2.5,3,No,215200
9000,8,2008,1566,3,3,No,262500
12552,7,2004,1947,2.5,3,Yes,254900
10440,6,2005,1468,3,2,Yes,271500
10142,7,2004,2084,3.5,4,No,233000
11920,7,2004,1659,2.5,3,No,181000
8880,7,1994,2110,3.5,3,Yes,205000
8012,6,1980,923,2,2,Yes,143000
11218,6,1992,1845,2.5,3,Yes,189000
7892,6,1979,918,2,2,Yes,99500
7175,6,1984,752,2,2,No,125000
9453,7,1993,1744,2.5,3,No,194500
9672,6,1984,1097,2,3,No,152000
8400,6,1980,1564,2.5,3,Yes,171000
9800,5,1920,1012,1,2,No,67500
8930,6,1978,1902,2,4,No,112000
11782,5,1961,1155,2,3,No,148000
8450,5,1965,894,2,3,Yes,138500
9819,5,1967,900,1,3,No,122000
7500,5,1963,1040,2.5,3,No,133000
6897,5,1962,1040,2.5,3,No,127000
15410,6,1974,1494,3,3,Yes,169000
10186,7,1992,1923,3.5,3,Yes,190000
13143,8,1993,2349,3.5,4,Yes,362500
11134,8,1992,2225,3.5,4,Yes,285000
4835,7,2004,1488,3,2,Yes,260000
3515,7,2004,1680,2.5,2,No,190000
3215,7,2004,1200,2.5,2,No,155000
3182,7,2004,1200,2.5,2,No,151000
2544,7,2004,1200,3.5,2,No,149500
2544,6,2005,1236,3.5,2,No,152000
4403,7,2009,1478,3.5,2,Yes,222000
2117,6,2000,1573,2.5,3,No,177500
2980,6,2000,1512,3.5,2,No,177000
2572,7,1999,1416,3.5,3,No,155000
2403,7,2003,1080,2.5,2,No,147110
12853,8,2010,1418,2.5,1,Yes,267916
7379,8,2000,1848,3.5,3,Yes,254000
4420,8,1980,788,2,1,Yes,155000
3880,8,1978,1226,2,1,Yes,206000
13517,6,1976,1479,2.5,3,No,130500
8000,7,2002,1492,3,3,Yes,230000
10456,6,1967,1829,3,4,No,218500
10791,6,1993,2495,3.5,4,Yes,243500
10603,6,1977,1610,3,3,Yes,205000
18837,6,1978,1891,3.5,3,Yes,212500
10421,7,1988,1714,2.5,3,Yes,196500
9360,6,1972,1381,2.5,3,Yes,197500
9600,6,1971,1645,2,4,No,171000
9600,5,1966,1232,2.5,3,No,142250
9790,6,1963,1328,2.5,3,Yes,143000
9320,4,1959,1225,2.5,3,No,128950
9900,5,1966,1209,2,3,No,159000
9680,5,1967,1510,3,3,No,178900
10600,6,1964,1775,2,3,No,136300
14112,5,1964,1152,2,3,Yes,180500
8800,6,1963,1054,2,3,No,137500
13260,5,1962,1728,4,6,No,84900
9717,5,1950,1078,2,2,No,142125
9724,5,1952,2461,2,3,Yes,197600
17360,6,1949,1556,2,3,Yes,172500
7207,5,1958,858,2,2,No,116500
5350,3,1940,1306,1,3,No,76500
9920,5,1954,1063,2,3,No,128000
9600,6,1955,1520,2,3,Yes,153000
7800,5,1954,1268,1,2,Yes,132000
11380,6,1966,1128,2,2,Yes,178000
11600,5,1960,2274,2,5,No,154300
19900,7,1970,2207,3,3,Yes,180000
16492,6,1966,1888,2.5,2,Yes,190000
8267,5,1958,1604,2,4,No,135000
8197,7,2003,1480,3,3,No,214000
8050,5,1959,1143,2,3,No,136000
10552,5,1959,1700,2,4,Yes,165500
8400,5,1957,1314,2,3,No,145000
8760,6,1959,1194,2,3,No,148000
12160,5,1959,1188,2,3,No,142000
9300,5,1960,1264,2,3,Yes,167500
10725,5,1959,1206,1,3,No,108538
10032,6,1959,1580,2.5,3,Yes,159500
8382,4,1956,1337,1,3,No,108000
10950,5,1952,1064,1.5,2,No,135000
10895,5,1955,972,1,3,No,122500
13587,5,1958,988,2,2,No,119000
7922,5,1953,1057,2,3,No,109000
7898,4,1920,985,1.5,2,No,105000
7200,5,1955,827,1,2,Yes,107500
10200,5,1954,1086,2,3,No,144900
5868,5,1956,936,2,2,No,129000
17503,6,1948,1458,1.5,3,Yes,97500
6979,6,1980,1056,2,0,No,144000
9830,5,1959,1287,2,3,Yes,162000
11275,7,1967,2978,2.5,5,Yes,242000
8064,6,1948,1224,2,3,No,132000
7500,5,1959,1246,2.5,3,No,154000
8520,5,1952,1385,2,4,No,166000
7200,5,1951,900,1.5,3,No,134800
10000,6,1962,1116,1.5,3,No,160000
7635,5,1960,1175,1.5,3,No,148000
9760,6,1963,1395,2,2,Yes,192000
7700,6,1966,1839,1.5,4,Yes,155000
4800,4,1900,1844,2,3,Yes,80400
8800,4,1910,1140,1,3,No,96500
4485,5,1920,936,2,2,Yes,109500
8960,5,1927,1028,1,2,Yes,115000
5805,5,1957,1347,2.5,3,No,143000
5790,3,1915,1605,2,3,No,107400
4608,4,1945,747,1,2,No,80000
7200,5,1940,804,2,2,Yes,119000
5500,5,1929,1316,2,3,No,130000
6900,6,1938,1251,1,3,No,119000
11851,5,1948,1633,1,3,Yes,129000
8239,5,1920,1245,1,3,No,100000
9656,2,1923,832,1,2,Yes,12789
8520,6,1928,720,1,2,No,105900
9600,8,1900,1566,2,3,No,150000
10800,5,1915,1652,3,4,No,139000
9000,8,1890,2268,3,3,No,240000
9045,5,1910,2256,2,4,No,76500
